"number","title","labels","opened","state","merged","closed","beforeFCPProposed","fcpProposed","beforeFCPEntered","fcpEntered","beforeFCPComplete","fcpComplete"
1869,"RFC: add `eprint(ln)!`","final-comment-period,T-libs","2017-01-23T19:31:27Z","MERGED","2017-03-14T21:25:32Z","",40,"2017-02-21T11:38:51Z",5,"2017-02-28T22:03:25Z",45,"2017-03-10T22:10:09Z"
1873,"Add SafeDeref/SafeDerefMut","final-comment-period,T-libs","2017-01-26T15:11:50Z","CLOSED","","2017-05-05T22:42:36Z",19,"2017-04-19T04:23:31Z",0,"2017-04-25T21:04:26Z",1,"2017-05-05T21:49:30Z"
1875,"Allow `extern crate` to take a list of crates","final-comment-period,T-lang","2017-01-29T06:05:24Z","CLOSED","","2017-07-03T18:14:20Z",17,"2017-04-29T07:04:20Z",0,"2017-06-15T12:10:32Z",0,"2017-06-25T12:30:59Z"
1890,"Amend RFC 1105 to specify how dependency versions relate to semver","final-comment-period,postponed,T-libs","2017-02-08T19:17:00Z","CLOSED","","2017-04-24T14:56:16Z",15,"2017-03-29T18:20:32Z",1,"2017-04-13T17:50:06Z",0,"2017-04-23T17:50:11Z"
1891,"Transmute trait","final-comment-period,T-lang","2017-02-09T10:25:30Z","CLOSED","","2017-03-03T23:55:48Z",20,"2017-02-10T15:27:40Z",0,"2017-02-14T13:35:16Z",0,"2017-02-24T13:42:47Z"
1895,"Pattern synonyms","final-comment-period,T-lang","2017-02-10T15:26:48Z","CLOSED","","2017-03-06T17:46:13Z",17,"2017-02-13T17:13:32Z",0,"2017-02-23T20:23:54Z",0,"2017-03-05T20:31:23Z"
1910,"RFC: Safe because I said so","final-comment-period,T-lang","2017-02-19T19:00:50Z","CLOSED","","2017-03-27T21:12:08Z",11,"2017-02-24T16:53:47Z",7,"2017-03-15T14:38:23Z",0,"2017-03-25T14:39:04Z"
1918,"Unsafe lifetime","final-comment-period,T-lang","2017-02-22T01:44:39Z","CLOSED","","2017-05-01T22:12:06Z",28,"2017-03-03T17:04:28Z",3,"2017-04-19T09:24:44Z",3,"2017-04-29T10:05:00Z"
1932,"`with` bounds for pi types.","final-comment-period,T-lang","2017-02-26T15:24:12Z","CLOSED","","2017-04-13T22:26:37Z",10,"2017-03-10T00:25:16Z",0,"2017-04-03T20:41:20Z",0,"2017-04-13T20:51:01Z"
1945,"Polymorphic Numeric Constants","final-comment-period,T-lang","2017-03-06T17:41:30Z","CLOSED","","2017-04-10T05:28:56Z",23,"2017-03-10T19:32:45Z",1,"2017-03-21T13:12:21Z",0,"2017-03-31T13:14:06Z"
1949,"Enum name elison through inferred variant constructors","final-comment-period,T-lang","2017-03-11T09:59:25Z","CLOSED","","2017-05-08T22:40:02Z",47,"2017-04-06T21:33:39Z",0,"2017-04-27T22:18:02Z",1,"2017-05-07T22:53:45Z"
1951,"RFC: Finalize syntax and parameter scoping for `impl Trait`, while expanding it to arguments","final-comment-period,T-lang","2017-03-15T06:04:11Z","MERGED","2017-05-24T01:07:59Z","",143,"2017-04-20T21:34:38Z",0,"2017-05-02T13:23:07Z",11,"2017-05-12T13:32:52Z"
1968,"Allow any Displayable type for expect.","final-comment-period,T-libs","2017-04-10T03:49:55Z","CLOSED","","2017-05-20T04:57:59Z",2,"2017-04-29T05:03:50Z",1,"2017-05-09T21:15:05Z",0,"2017-05-19T21:37:21Z"
1974,"Prepare global allocators for stabilization","final-comment-period,T-libs","2017-04-16T20:52:56Z","MERGED","2017-06-18T01:51:00Z","",93,"2017-05-23T04:03:20Z",36,"2017-06-06T23:09:40Z",3,"2017-06-16T23:19:34Z"
1980,"Make RangeInclusive just a two-field struct (amend 1192)","final-comment-period,T-libs","2017-04-25T02:51:35Z","MERGED","2017-05-22T14:41:54Z","",8,"2017-04-29T05:03:52Z",4,"2017-05-11T04:53:10Z",7,"2017-05-21T05:10:00Z"
1985,"Tiered browser support policy for Rust's web content","final-comment-period,T-core","2017-04-28T13:04:38Z","MERGED","2017-07-03T18:33:39Z","",26,"2017-05-12T19:10:36Z",18,"2017-06-06T22:09:15Z",1,"2017-06-16T23:06:22Z"
2005,"Match Ergonomics Using Default Binding Modes","final-comment-period,T-lang","2017-05-22T06:40:25Z","MERGED","2017-06-13T20:27:41Z","",29,"2017-05-30T22:07:18Z",16,"2017-06-02T21:59:18Z",24,"2017-06-12T22:02:28Z"
